edad,ingreso
5.600000000000000000e+01,3.953553679742427630e+04
6.900000000000000000e+01,6.868463635867222911e+04
4.600000000000000000e+01,3.953649254715696588e+04
3.200000000000000000e+01,2.097746290402325758e+04
6.000000000000000000e+01,5.253427115757473803e+04
2.500000000000000000e+01,1.843451996385605162e+04
3.800000000000000000e+01,5.717141635072564532e+04
5.600000000000000000e+01,6.441639756949450384e+04
3.600000000000000000e+01,3.852027358683382772e+04
4.000000000000000000e+01,5.679944138890026079e+04
2.800000000000000000e+01,3.257368307647618349e+04
2.800000000000000000e+01,2.318715798671736411e+04
4.100000000000000000e+01,5.808124077269657573e+04
5.300000000000000000e+01,5.843910043684658740e+04
5.700000000000000000e+01,4.607753845673543401e+04
4.100000000000000000e+01,4.094661321916391898e+04
2.000000000000000000e+01,1.624381746615242810e+04
3.900000000000000000e+01,2.732200269035663950e+04
1.900000000000000000e+01,3.341177547531641176e+04
4.100000000000000000e+01,6.194416640470130369e+04
6.100000000000000000e+01,4.586432426180858602e+04
4.700000000000000000e+01,5.357969236690570688e+04
5.500000000000000000e+01,4.824357430878173182e+04
1.900000000000000000e+01,1.927874616235303984e+04
3.800000000000000000e+01,3.437606075761131069e+04
5.000000000000000000e+01,4.186009230320183997e+04
2.900000000000000000e+01,3.313521627944827196e+04
3.900000000000000000e+01,3.284049883588962257e+04
6.100000000000000000e+01,6.255456825779838982e+04
4.200000000000000000e+01,4.319761890550862881e+04
6.600000000000000000e+01,6.171051953133589996e+04
4.400000000000000000e+01,3.632436337958402146e+04
5.900000000000000000e+01,5.238228669431667367e+04
4.500000000000000000e+01,5.380391225825755828e+04
3.300000000000000000e+01,4.105917187624381040e+04
3.200000000000000000e+01,2.542444755201449152e+04
6.400000000000000000e+01,6.339332305429226108e+04
6.800000000000000000e+01,7.331387123371788766e+04
6.100000000000000000e+01,4.315594718878628191e+04
6.900000000000000000e+01,7.208360192379934597e+04
2.000000000000000000e+01,1.837376241054153434e+04
5.400000000000000000e+01,5.960598668593159528e+04
6.800000000000000000e+01,5.816740843457483425e+04
2.400000000000000000e+01,1.035117899335480979e+04
3.800000000000000000e+01,2.402457562116837289e+04
2.600000000000000000e+01,3.058084946661382128e+04
5.600000000000000000e+01,5.819722501721481967e+04
3.500000000000000000e+01,2.870683374895591260e+04
2.100000000000000000e+01,3.223592458777374122e+04
4.200000000000000000e+01,2.708479937731040263e+04
3.100000000000000000e+01,3.368920201352683216e+04
6.700000000000000000e+01,5.283983800237542891e+04
2.600000000000000000e+01,2.358163892197841051e+04
4.300000000000000000e+01,4.502398671316413675e+04
1.900000000000000000e+01,1.554586634716047593e+04
3.700000000000000000e+01,3.560444455770174682e+04
4.500000000000000000e+01,5.631292809214440786e+04
6.400000000000000000e+01,5.663108130476851511e+04
2.400000000000000000e+01,3.675692112065141555e+04
6.100000000000000000e+01,4.855293145342382195e+04
2.500000000000000000e+01,3.454804177915283071e+04
6.400000000000000000e+01,7.681568620657900465e+04
5.200000000000000000e+01,2.748355499872710789e+04
3.100000000000000000e+01,2.638104744529523305e+04
3.400000000000000000e+01,4.267072127180539974e+04
5.300000000000000000e+01,5.101954613957006950e+04
6.700000000000000000e+01,6.866145873371309426e+04
5.700000000000000000e+01,5.041014813284179399e+04
2.100000000000000000e+01,2.671589787472899843e+04
1.900000000000000000e+01,2.259322764607920544e+04
2.300000000000000000e+01,3.922782061659807368e+04
5.900000000000000000e+01,6.069420843301212881e+04
2.100000000000000000e+01,2.922602662075202170e+04
4.600000000000000000e+01,4.298123033877532725e+04
3.500000000000000000e+01,3.287393775927506795e+04
4.300000000000000000e+01,4.022441812180379202e+04
6.100000000000000000e+01,6.379452142378297140e+04
5.100000000000000000e+01,4.714015519179737021e+04
2.700000000000000000e+01,3.384774856896413257e+04
5.300000000000000000e+01,7.380400798645438044e+04
3.100000000000000000e+01,4.306124703431692615e+04
4.800000000000000000e+01,4.553976467832158960e+04
6.500000000000000000e+01,7.526213922163944517e+04
3.200000000000000000e+01,3.111924626978448578e+04
2.500000000000000000e+01,8.868754648221460229e+03
3.100000000000000000e+01,2.426913689082596102e+04
4.000000000000000000e+01,2.329208078974144155e+04
5.700000000000000000e+01,5.293486515958691598e+04
3.800000000000000000e+01,4.048418379189551342e+04
3.300000000000000000e+01,5.281437312275282602e+04
6.200000000000000000e+01,6.396927373764162621e+04
3.500000000000000000e+01,3.555899471191135672e+04
6.400000000000000000e+01,7.069405581183488539e+04
4.100000000000000000e+01,2.073864690992114993e+04
4.300000000000000000e+01,4.690614558108565689e+04
4.200000000000000000e+01,5.140865193886966881e+04
6.200000000000000000e+01,4.591413754220158444e+04
5.800000000000000000e+01,6.873754043206929055e+04
4.600000000000000000e+01,5.048496407494413870e+04
3.200000000000000000e+01,3.104712086099198859e+04
6.200000000000000000e+01,6.702781866106284724e+04
